tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
wandb: WARNING W&B installed but not logged in.  Run `wandb login` or set the WANDB_API_KEY env variable.
step 0: train loss 10.9888, val loss 10.9911
iter 0: loss 10.9994, time 54350.59ms, mfu -100.00%
iter 1: loss 11.0049, time 12671.81ms, mfu -100.00%
iter 2: loss 10.9578, time 12731.79ms, mfu -100.00%
iter 3: loss 10.9255, time 12785.22ms, mfu -100.00%
iter 4: loss 10.8932, time 12821.93ms, mfu -100.00%
iter 5: loss 10.8195, time 12836.83ms, mfu 10.49%
iter 6: loss 10.7226, time 12866.13ms, mfu 10.49%
iter 7: loss 10.6276, time 12898.15ms, mfu 10.48%
iter 8: loss 10.5877, time 12901.67ms, mfu 10.48%
iter 9: loss 10.4601, time 12904.61ms, mfu 10.47%
iter 10: loss 10.3507, time 12904.58ms, mfu 10.47%
iter 11: loss 10.3081, time 12907.84ms, mfu 10.47%
iter 12: loss 10.2191, time 12912.46ms, mfu 10.46%
iter 13: loss 10.1253, time 12914.42ms, mfu 10.46%
iter 14: loss 10.1110, time 12917.37ms, mfu 10.46%
iter 15: loss 9.9865, time 12916.38ms, mfu 10.45%
iter 16: loss 9.9240, time 12915.66ms, mfu 10.45%
iter 17: loss 9.9169, time 12914.14ms, mfu 10.45%
iter 18: loss 9.7770, time 12912.51ms, mfu 10.45%
iter 19: loss 9.9767, time 12916.05ms, mfu 10.44%
iter 20: loss 9.6517, time 12916.20ms, mfu 10.44%
iter 21: loss 9.7136, time 12916.90ms, mfu 10.44%
iter 22: loss 9.6445, time 12912.64ms, mfu 10.44%
iter 23: loss 9.6660, time 12913.66ms, mfu 10.44%
iter 24: loss 9.6297, time 12913.67ms, mfu 10.44%
iter 25: loss 9.6469, time 12915.90ms, mfu 10.44%
iter 26: loss 9.6590, time 12911.46ms, mfu 10.44%
iter 27: loss 9.6865, time 12909.22ms, mfu 10.43%
iter 28: loss 9.3973, time 12920.42ms, mfu 10.43%
iter 29: loss 9.6208, time 12909.87ms, mfu 10.43%
iter 30: loss 9.6163, time 12910.79ms, mfu 10.43%
iter 31: loss 9.4356, time 12906.72ms, mfu 10.43%
iter 32: loss 9.4692, time 12909.63ms, mfu 10.43%
iter 33: loss 9.4288, time 12911.78ms, mfu 10.43%
iter 34: loss 9.3795, time 12909.72ms, mfu 10.43%
iter 35: loss 9.4349, time 12917.29ms, mfu 10.43%
iter 36: loss 9.4468, time 12905.97ms, mfu 10.43%
iter 37: loss 9.3231, time 12910.43ms, mfu 10.43%
iter 38: loss 9.2973, time 12906.84ms, mfu 10.43%
iter 39: loss 9.3756, time 12907.22ms, mfu 10.43%
iter 40: loss 9.3497, time 12908.46ms, mfu 10.43%
iter 41: loss 9.2780, time 12907.60ms, mfu 10.43%
iter 42: loss 9.0651, time 12908.80ms, mfu 10.43%
iter 43: loss 9.2059, time 12911.02ms, mfu 10.43%
iter 44: loss 9.1373, time 12910.43ms, mfu 10.43%
iter 45: loss 9.3138, time 12913.46ms, mfu 10.43%
iter 46: loss 9.0992, time 12913.48ms, mfu 10.43%
iter 47: loss 9.0558, time 12911.79ms, mfu 10.43%
iter 48: loss 9.0771, time 12914.12ms, mfu 10.43%
iter 49: loss 8.9553, time 12913.12ms, mfu 10.43%
iter 50: loss 9.0784, time 12912.03ms, mfu 10.43%
iter 51: loss 9.1633, time 12915.94ms, mfu 10.43%
iter 52: loss 9.2122, time 12914.95ms, mfu 10.43%
iter 53: loss 9.0451, time 12918.56ms, mfu 10.43%
iter 54: loss 9.1231, time 12912.80ms, mfu 10.43%
iter 55: loss 8.9185, time 12914.47ms, mfu 10.43%
iter 56: loss 9.0009, time 12911.83ms, mfu 10.43%
iter 57: loss 8.8922, time 12912.44ms, mfu 10.43%
iter 58: loss 8.9021, time 12911.99ms, mfu 10.43%
iter 59: loss 8.9542, time 12913.66ms, mfu 10.43%
iter 60: loss 8.9340, time 12915.51ms, mfu 10.43%
iter 61: loss 9.1265, time 12917.46ms, mfu 10.43%
iter 62: loss 8.7583, time 12914.33ms, mfu 10.43%
iter 63: loss 8.8167, time 12918.40ms, mfu 10.43%
iter 64: loss 8.8017, time 12914.77ms, mfu 10.43%
iter 65: loss 8.8683, time 12918.46ms, mfu 10.43%
iter 66: loss 8.7405, time 12910.88ms, mfu 10.43%
iter 67: loss 8.7900, time 12913.73ms, mfu 10.43%
iter 68: loss 8.6982, time 12913.26ms, mfu 10.43%
iter 69: loss 8.6687, time 12912.51ms, mfu 10.43%
iter 70: loss 8.8058, time 12913.47ms, mfu 10.43%
iter 71: loss 8.6322, time 12911.54ms, mfu 10.43%
iter 72: loss 8.5225, time 12912.51ms, mfu 10.43%
iter 73: loss 8.6288, time 12912.17ms, mfu 10.43%
iter 74: loss 8.4903, time 12914.23ms, mfu 10.43%
iter 75: loss 8.1839, time 12915.61ms, mfu 10.43%
iter 76: loss 8.5998, time 12914.02ms, mfu 10.43%
iter 77: loss 8.4130, time 12921.86ms, mfu 10.43%
iter 78: loss 8.3255, time 12925.79ms, mfu 10.43%
iter 79: loss 8.2232, time 12916.65ms, mfu 10.43%
iter 80: loss 8.3868, time 12915.68ms, mfu 10.43%
iter 81: loss 8.4670, time 12914.99ms, mfu 10.43%
iter 82: loss 8.5155, time 12913.76ms, mfu 10.43%
iter 83: loss 8.2410, time 12910.95ms, mfu 10.43%
iter 84: loss 8.3078, time 12911.49ms, mfu 10.43%
iter 85: loss 8.2214, time 12913.11ms, mfu 10.43%
iter 86: loss 8.3053, time 12911.74ms, mfu 10.43%
iter 87: loss 8.1160, time 12910.70ms, mfu 10.43%
iter 88: loss 8.3467, time 12913.40ms, mfu 10.43%
iter 89: loss 8.0367, time 12915.36ms, mfu 10.43%
iter 90: loss 8.0352, time 12912.49ms, mfu 10.43%
iter 91: loss 8.3804, time 12912.52ms, mfu 10.43%
iter 92: loss 8.1854, time 12914.73ms, mfu 10.43%
iter 93: loss 8.1975, time 12911.69ms, mfu 10.43%
iter 94: loss 8.1720, time 12908.07ms, mfu 10.43%
iter 95: loss 8.0677, time 12912.42ms, mfu 10.43%
iter 96: loss 8.1682, time 12912.02ms, mfu 10.43%
iter 97: loss 7.9798, time 12911.44ms, mfu 10.43%
iter 98: loss 7.9126, time 12912.47ms, mfu 10.43%
